Date,CategoricalFeature1,CategoricalFeature2,Activity1,Activity2,Target,Activity3,Activity4,Activity5,Activity6,Activity7,Activity8,Activity9,Activity10,Activity11,Activity12,Activity13,Activity14,Activity15,Activity16
1/1/2015,Cat_1,Cat_1,NA,4949,low,2240,4448,NA,NA,3981,NA,1277,2446,5374,7282,4120,NA,2752,NA
1/1/2015,Cat_3,Cat_1,NA,1186,low,518,1379,NA,NA,1019,NA,385,648,2079,2266,1124,NA,549,NA
1/1/2015,Cat_1,Cat_10,NA,853,low,544,1588,NA,NA,6622,NA,359,395,1034,1788,662,NA,337,NA
1/1/2015,Cat_3,Cat_10,NA,440,low,264,677,NA,NA,3412,NA,178,204,472,736,298,NA,141,NA
1/1/2015,Cat_1,Cat_11,NA,48,low,32,42,NA,NA,46,NA,NA,29,27,27,33,NA,27,NA
1/1/2015,Cat_1,Cat_2,NA,57929,low,14245,44259,NA,NA,43394,NA,12156,38184,121857,175425,62782,NA,40283,NA
1/1/2015,Cat_3,Cat_2,NA,23268,low,4830,16440,NA,NA,9791,NA,3561,14494,35571,49927,22074,NA,15168,NA
1/1/2015,Cat_1,Cat_3,NA,1367,low,1069,1824,NA,NA,1042,NA,525,460,1584,1745,1037,NA,599,NA
1/1/2015,Cat_3,Cat_3,NA,516,low,348,467,NA,NA,311,NA,95,174,447,527,390,NA,190,NA
1/1/2015,Cat_1,Cat_4,NA,10633,low,7342,7601,NA,NA,4934,NA,2404,6524,12772,17226,7791,NA,8645,NA
1/1/2015,Cat_3,Cat_4,NA,1724,low,1574,1596,NA,NA,666,NA,409,990,1991,2751,1252,NA,1199,NA
1/1/2015,Cat_1,Cat_5,NA,64594,high,20387,57485,NA,NA,38488,NA,16358,37025,98285,135024,56875,NA,49865,NA
1/1/2015,Cat_3,Cat_5,NA,25921,low,8465,20183,NA,NA,11581,NA,4960,18310,38438,55607,24373,NA,15345,NA
1/1/2015,Cat_1,Cat_6,NA,28,low,30,NA,NA,NA,30,NA,NA,NA,31,27,NA,NA,32,NA
1/1/2015,Cat_4,Cat_6,NA,15348,high,96010,104937,NA,NA,129403,NA,69278,61159,259984,359913,64942,NA,69028,NA
1/1/2015,Cat_1,Cat_7,NA,7941,low,8664,8526,NA,NA,7200,NA,2213,4184,8721,10511,5277,NA,4608,NA
1/1/2015,Cat_3,Cat_7,NA,2466,low,939,2412,NA,NA,3274,NA,458,875,2537,3478,1581,NA,1587,NA
1/1/2015,Cat_1,Cat_8,NA,143372,high,30307,82444,NA,NA,33765,NA,25736,94633,182380,295163,124091,NA,134499,NA
1/1/2015,Cat_3,Cat_8,NA,64246,low,13745,33548,NA,NA,9584,NA,7398,42870,84347,115593,46624,NA,61886,NA
1/1/2015,Cat_1,Cat_9,NA,7336,low,4786,8661,NA,NA,2706,NA,1701,5697,10383,15766,6764,NA,7385,NA
1/1/2015,Cat_3,Cat_9,NA,5626,low,1253,8066,NA,NA,685,NA,2032,3942,7356,11458,4731,NA,4824,NA
1/2/2015,Cat_1,Cat_1,NA,5626,low,3644,4778,NA,NA,3997,NA,1570,2899,6782,8039,4975,NA,2527,NA
1/2/2015,Cat_3,Cat_1,NA,818,low,486,816,NA,NA,491,NA,246,616,1325,1743,751,NA,452,NA
1/2/2015,Cat_1,Cat_10,NA,689,low,668,950,NA,NA,4603,NA,292,215,1059,1561,627,NA,227,NA
1/2/2015,Cat_3,Cat_10,NA,254,low,322,402,NA,NA,1914,NA,61,56,142,310,99,NA,60,NA
1/2/2015,Cat_1,Cat_11,NA,63,low,42,33,NA,NA,28,NA,NA,33,43,47,32,NA,31,NA
1/2/2015,Cat_1,Cat_2,NA,55705,high,23909,45610,NA,NA,45739,NA,20326,36890,143750,176496,73533,NA,36585,NA
